Top_20
ENSG00000303861.1
ENSG00000280614.1
ENSG00000280800.1
ENSG00000281383.1
ENSG00000281181.1
ENSG00000010803.18
ENSG00000073756.13
ENSG00000134258.18
ENSG00000015133.20
ENSG00000175356.14
ENSG00000286134.3
ENSG00000152785.8
ENSG00000116711.10
ENSG00000167191.12
ENSG00000185989.11
ENSG00000007933.13
ENSG00000072274.14
ENSG00000168079.17
ENSG00000099864.18
ENSG00000160188.10
